Latitude,Longitude,Received_at,Recorded_at,Field,Value
-,-,2016-09-01T12:55:03Z,2016-08-31T13:07:27.000Z,MDI_HEALTH_WRITEDIR_FREE,27760
-,-,2016-09-01T12:55:03Z,2016-08-31T13:07:27.000Z,MDI_HEALTH_OPENED_FDS,1866
-,-,2016-09-01T12:55:03Z,2016-08-31T13:07:27.000Z,MDI_HEALTH_THREADS,309
-,-,2016-09-01T12:55:03Z,2016-08-31T13:07:27.000Z,MDI_HEALTH_LOADAVG15,153
-,-,2016-09-01T12:55:03Z,2016-08-31T13:08:19.001Z,MDI_EXT_BATT_VOLTAGE,12813
-,-,2016-09-01T12:55:03Z,2016-08-31T13:08:19.001Z,EVENT,S:3-205
-,-,2016-09-01T12:55:03Z,2016-08-31T13:08:19.000Z,EVENT,S:3-205
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,GPS_PDOP,30
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,MDI_HEALTH_OPENED_FDS,1865
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,MDI_HEALTH_THREADS,304
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,MDI_HEALTH_LOADAVG15,149
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,EVENT,B:131072
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,MDI_EXT_BATT_VOLTAGE,12937
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,GPS_SPEED,0
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:28.000Z,GPS_DIR,0
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:31.000Z,EVENT,B:131072
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:38.000Z,GPS_PDOP,60
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_JOURNEY_TIME,0
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_JOURNEY_STATE,true
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_EXT_BATT_VOLTAGE,13020
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_JOURNEY_ID,9
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_OBD_MILEAGE_METERS,1036
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_VEHICLE_STATE,1:0
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_OBD_FUEL,344
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:54.000Z,MDI_DRIVING_JOURNEY,0
-,-,2016-09-01T12:55:05Z,2016-09-01T12:53:55.000Z,MDI_OBD_SPEED,13
-,-,2016-09-01T12:55:05Z,2016-09-01T12:54:28.000Z,MDI_OBD_MILEAGE_METERS,1086
-,-,2016-09-01T12:55:05Z,2016-09-01T12:54:28.000Z,MDI_OBD_RPM,1353
-,-,2016-09-01T12:57:07Z,2016-09-01T12:54:54.000Z,MDI_OBD_SPEED,0
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_JOURNEY_STATE,false
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_RPM_AVERAGE_RANGE_1,903
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_OBD_MILEAGE_METERS,1154
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_VEHICLE_STATE,0:1
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_OBD_FUEL,377
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_DRIVING_JOURNEY,70
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_EXT_BATT_VOLTAGE,12772
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:03.000Z,MDI_JOURNEY_TIME,70
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:04.001Z,EVENT,odo_obd_speed
-,-,2016-09-01T12:57:07Z,2016-09-01T12:55:04.000Z,EVENT,fuel_obd
47.18743,8.47395,2016-09-01T12:57:07Z,2016-09-01T12:55:25.000Z,MDI_OBD_RPM,644
47.18743,8.47395,2016-09-01T12:57:07Z,2016-09-01T12:55:25.000Z,GPS_SPEED,2622
47.18743,8.47395,2016-09-01T12:57:07Z,2016-09-01T12:55:25.000Z,GPS_DIR,19495
47.18743,8.47395,2016-09-01T12:57:07Z,2016-09-01T12:55:25.000Z,GPS_PDOP,3
47.18723,8.47395,2016-09-01T12:57:07Z,2016-09-01T12:55:30.000Z,GPS_SPEED,1653
47.18723,8.47395,2016-09-01T12:57:07Z,2016-09-01T12:55:30.000Z,GPS_PDOP,1
47.18722,8.4736,2016-09-01T12:57:07Z,2016-09-01T12:55:35.000Z,GPS_PDOP,4
47.18722,8.4736,2016-09-01T12:57:07Z,2016-09-01T12:55:35.000Z,GPS_SPEED,564
47.1872,8.47352,2016-09-01T12:57:07Z,2016-09-01T12:55:40.000Z,GPS_SPEED,285
47.18717,8.47348,2016-09-01T12:57:07Z,2016-09-01T12:55:45.000Z,GPS_SPEED,282
47.18719,8.47346,2016-09-01T12:57:07Z,2016-09-01T12:55:47.000Z,EVENT,Wake up: 13000
47.1872,8.47345,2016-09-01T12:57:07Z,2016-09-01T12:55:50.000Z,GPS_SPEED,288
47.18724,8.47343,2016-09-01T12:57:07Z,2016-09-01T12:55:55.000Z,GPS_SPEED,212
47.18728,8.47341,2016-09-01T12:57:07Z,2016-09-01T12:56:00.000Z,GPS_SPEED,538
47.18728,8.47341,2016-09-01T12:57:07Z,2016-09-01T12:56:00.000Z,GPS_PDOP,3
47.1873,8.4734,2016-09-01T12:57:07Z,2016-09-01T12:56:05.000Z,GPS_SPEED,375
47.18731,8.47341,2016-09-01T12:57:07Z,2016-09-01T12:56:10.000Z,GPS_SPEED,202
47.18732,8.47341,2016-09-01T12:57:07Z,2016-09-01T12:56:15.000Z,GPS_SPEED,529
47.18735,8.47341,2016-09-01T12:57:07Z,2016-09-01T12:56:20.000Z,GPS_SPEED,626
47.18738,8.4734,2016-09-01T12:57:07Z,2016-09-01T12:56:25.000Z,GPS_SPEED,282
47.1874,8.4734,2016-09-01T12:57:07Z,2016-09-01T12:56:30.000Z,GPS_SPEED,308
47.18742,8.4734,2016-09-01T12:57:07Z,2016-09-01T12:56:35.000Z,GPS_SPEED,0
47.18742,8.4734,2016-09-01T12:59:08Z,2016-09-01T12:57:05.000Z,GPS_SPEED,468
47.18743,8.4734,2016-09-01T12:59:08Z,2016-09-01T12:57:10.000Z,GPS_SPEED,350
47.18744,8.4734,2016-09-01T12:59:08Z,2016-09-01T12:57:15.000Z,GPS_SPEED,0
47.18744,8.4734,2016-09-01T12:59:08Z,2016-09-01T12:57:15.000Z,GPS_PDOP,6
47.18744,8.4734,2016-09-01T12:59:08Z,2016-09-01T12:57:20.000Z,GPS_PDOP,3
47.18745,8.47341,2016-09-01T12:59:08Z,2016-09-01T12:57:25.000Z,GPS_SPEED,233
47.18745,8.47341,2016-09-01T12:59:08Z,2016-09-01T12:57:25.000Z,GPS_PDOP,6
47.18745,8.47348,2016-09-01T12:59:08Z,2016-09-01T12:57:30.000Z,GPS_SPEED,4022
47.18745,8.47348,2016-09-01T12:59:08Z,2016-09-01T12:57:30.000Z,GPS_DIR,6233
47.18745,8.47348,2016-09-01T12:59:08Z,2016-09-01T12:57:30.000Z,GPS_PDOP,3
47.18745,8.47352,2016-09-01T12:59:08Z,2016-09-01T12:57:35.000Z,GPS_SPEED,2603
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_VEHICLE_STATE,1:0
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_OBD_FUEL,378
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_JOURNEY_TIME,0
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_DRIVING_JOURNEY,0
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_JOURNEY_STATE,true
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,GPS_SPEED,0
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_EXT_BATT_VOLTAGE,14260
47.18744,8.47351,2016-09-01T12:59:08Z,2016-09-01T12:57:36.000Z,MDI_JOURNEY_ID,10
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_VEHICLE_STATE,0:1
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_JOURNEY_STATE,false
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_RPM_AVERAGE_RANGE_1,671
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_JOURNEY_TIME,20
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_DRIVING_JOURNEY,20
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_EXT_BATT_VOLTAGE,12813
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_OBD_MILEAGE_METERS,1156
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:56.000Z,MDI_OBD_FUEL,382
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:57.001Z,EVENT,odo_obd_speed
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:57:57.000Z,EVENT,fuel_obd
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:58:06.000Z,GPS_PDOP,2
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:58:25.000Z,MDI_OBD_RPM,375
47.18743,8.4735,2016-09-01T12:59:08Z,2016-09-01T12:58:37.000Z,EVENT,Wake up: 13000
47.18743,8.47351,2016-09-01T13:01:09Z,2016-09-01T12:59:41.000Z,GPS_SPEED,63
47.18743,8.47351,2016-09-01T13:01:09Z,2016-09-01T12:59:46.000Z,GPS_SPEED,0
47.18743,8.47353,2016-09-01T13:01:09Z,2016-09-01T13:00:06.000Z,GPS_SPEED,769
47.18743,8.47353,2016-09-01T13:01:09Z,2016-09-01T13:00:11.000Z,GPS_SPEED,0
47.18743,8.47353,2016-09-01T13:01:09Z,2016-09-01T13:00:16.000Z,GPS_PDOP,3
47.18743,8.47353,2016-09-01T13:01:09Z,2016-09-01T13:00:21.000Z,GPS_PDOP,2
47.18743,8.47354,2016-09-01T13:01:09Z,2016-09-01T13:00:41.000Z,GPS_SPEED,130
47.18743,8.47353,2016-09-01T13:01:09Z,2016-09-01T13:00:46.000Z,GPS_SPEED,0
47.18743,8.47354,2016-09-01T13:03:10Z,2016-09-01T13:01:11.000Z,GPS_SPEED,175
47.18743,8.47354,2016-09-01T13:03:10Z,2016-09-01T13:01:16.000Z,GPS_SPEED,0
47.18743,8.47354,2016-09-01T13:03:10Z,2016-09-01T13:01:35.000Z,GPS_SPEED,139
47.18743,8.47354,2016-09-01T13:03:10Z,2016-09-01T13:01:40.000Z,GPS_SPEED,0
47.18742,8.47355,2016-09-01T13:03:10Z,2016-09-01T13:02:10.000Z,GPS_SPEED,35
47.18741,8.47355,2016-09-01T13:03:10Z,2016-09-01T13:02:15.000Z,GPS_SPEED,0
47.18741,8.47355,2016-09-01T13:03:10Z,2016-09-01T13:02:35.000Z,GPS_SPEED,247
47.18741,8.47354,2016-09-01T13:03:10Z,2016-09-01T13:02:40.000Z,GPS_SPEED,271
47.18741,8.47354,2016-09-01T13:03:10Z,2016-09-01T13:02:45.000Z,GPS_SPEED,0
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:11.000Z,GPS_SPEED,279
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:16.000Z,GPS_SPEED,0
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:25.000Z,MDI_HEALTH_WRITEDIR_FREE,27784
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:25.000Z,MDI_HEALTH_OPENED_FDS,1867
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:25.000Z,MDI_HEALTH_THREADS,309
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:25.000Z,MDI_HEALTH_LOADAVG15,156
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:36.000Z,GPS_SPEED,665
47.18741,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:03:41.000Z,GPS_SPEED,0
47.18742,8.47352,2016-09-01T13:05:11Z,2016-09-01T13:04:06.000Z,GPS_SPEED,407
47.18743,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:04:11.000Z,GPS_SPEED,442
47.18743,8.47353,2016-09-01T13:05:11Z,2016-09-01T13:04:16.000Z,GPS_SPEED,0
47.18743,8.47354,2016-09-01T13:05:11Z,2016-09-01T13:04:36.000Z,GPS_SPEED,330
47.18743,8.47354,2016-09-01T13:05:11Z,2016-09-01T13:04:41.000Z,GPS_SPEED,0
47.18742,8.47354,2016-09-01T13:07:12Z,2016-09-01T13:04:51.000Z,GPS_PDOP,1
47.18741,8.47356,2016-09-01T13:07:12Z,2016-09-01T13:05:46.000Z,GPS_SPEED,145
47.18741,8.47356,2016-09-01T13:07:12Z,2016-09-01T13:05:51.000Z,GPS_SPEED,0
47.18741,8.47357,2016-09-01T13:07:12Z,2016-09-01T13:06:12.000Z,GPS_SPEED,200
47.18741,8.47358,2016-09-01T13:07:12Z,2016-09-01T13:06:17.000Z,GPS_SPEED,0
47.18741,8.47358,2016-09-01T13:07:12Z,2016-09-01T13:06:32.000Z,GPS_PDOP,2
47.1874,8.47361,2016-09-01T13:07:12Z,2016-09-01T13:06:37.000Z,GPS_SPEED,134
47.1874,8.47361,2016-09-01T13:07:12Z,2016-09-01T13:06:42.000Z,GPS_SPEED,1381
47.18741,8.47361,2016-09-01T13:07:12Z,2016-09-01T13:06:47.000Z,GPS_SPEED,0
47.18741,8.47361,2016-09-01T13:07:12Z,2016-09-01T13:06:47.000Z,GPS_PDOP,1
47.18741,8.47362,2016-09-01T13:09:13Z,2016-09-01T13:06:52.000Z,GPS_PDOP,2
47.18741,8.47362,2016-09-01T13:09:13Z,2016-09-01T13:06:57.000Z,GPS_PDOP,1
47.1874,8.47365,2016-09-01T13:09:13Z,2016-09-01T13:07:12.000Z,GPS_SPEED,198
47.18739,8.47366,2016-09-01T13:09:13Z,2016-09-01T13:07:17.000Z,GPS_SPEED,0
47.18738,8.47367,2016-09-01T13:09:13Z,2016-09-01T13:07:42.000Z,GPS_SPEED,309
47.18738,8.47367,2016-09-01T13:09:13Z,2016-09-01T13:07:47.000Z,GPS_SPEED,0
47.18738,8.47367,2016-09-01T13:09:13Z,2016-09-01T13:08:07.000Z,GPS_SPEED,159
47.18738,8.47367,2016-09-01T13:09:13Z,2016-09-01T13:08:12.000Z,GPS_SPEED,0
47.18738,8.47366,2016-09-01T13:09:13Z,2016-09-01T13:08:36.000Z,GPS_SPEED,437
47.18738,8.47366,2016-09-01T13:09:13Z,2016-09-01T13:08:41.000Z,GPS_SPEED,0
47.18738,8.47366,2016-09-01T13:09:13Z,2016-09-01T13:08:51.000Z,GPS_PDOP,2
47.18738,8.47366,2016-09-01T13:52:57Z,2016-09-01T13:09:06.000Z,GPS_SPEED,76
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:11.000Z,GPS_SPEED,0
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:16.000Z,GPS_PDOP,3
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:32.000Z,GPS_PDOP,2
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:37.000Z,GPS_PDOP,3
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:42.000Z,EVENT,S:3-205
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:43.000Z,GPS_PDOP,2
47.18738,8.47365,2016-09-01T13:52:57Z,2016-09-01T13:09:43.000Z,EVENT,S:3-205
