Latitude,Longitude,Received_at,Recorded_at,Field,Value
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_GPS_HEADING_BEGIN,252790
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_Z_PEAK,-1114
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_GPS_HEADING_PEAK,268340
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_X_PEAK,15
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_Z_END,-1103
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ID,13
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_UNIQUE_ID,126
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_GPS_SPEED_BEGIN,27281
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_GPS_SPEED_PEAK,28414
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_GPS_SPEED_END,30968
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_X_END,42
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_Y_BEGIN,270
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_Y_PEAK,325
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_Y_END,268
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ELAPSED,3733
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_GPS_HEADING_END,280330
47.44807,9.52359,2016-09-15T03:58:44Z,2016-09-15T03:58:01.000Z,BEHAVE_ACC_X_BEGIN,-10
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_GPS_HEADING_BEGIN,230010
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_GPS_HEADING_END,192640
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_X_END,41
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_Y_PEAK,-322
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_GPS_SPEED_BEGIN,22748
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_GPS_SPEED_END,22945
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_Y_BEGIN,-271
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_Y_END,-261
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_Z_END,-1159
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ELAPSED,1866
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_GPS_SPEED_PEAK,20560
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_GPS_HEADING_PEAK,221960
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ID,12
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_Z_PEAK,-1172
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_UNIQUE_ID,127
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_X_BEGIN,-24
47.43743,9.45034,2016-09-15T04:06:54Z,2016-09-15T04:04:41.000Z,BEHAVE_ACC_Z_BEGIN,-1165
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_Y_END,266
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_Z_END,-1136
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ID,13
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_GPS_HEADING_BEGIN,208760
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_X_BEGIN,-20
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_X_PEAK,-5
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_GPS_SPEED_BEGIN,26781
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_GPS_HEADING_PEAK,233000
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_Z_BEGIN,-1131
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_Z_PEAK,-1133
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ELAPSED,2733
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_UNIQUE_ID,128
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_X_END,20
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_Y_BEGIN,271
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_ACC_Y_PEAK,345
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_GPS_SPEED_PEAK,27364
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_GPS_SPEED_END,28093
47.43699,9.44942,2016-09-15T04:06:54Z,2016-09-15T04:04:47.000Z,BEHAVE_GPS_HEADING_END,236590
47.43648,9.44703,2016-09-15T04:06:54Z,2016-09-15T04:04:59.000Z,BEHAVE_GPS_SPEED_BEGIN,30514
47.43648,9.44703,2016-09-15T04:06:54Z,2016-09-15T04:04:59.000Z,BEHAVE_GPS_HEADING_END,274900
47.43648,9.44703,2016-09-15T04:06:54Z,2016-09-15T04:04:59.000Z,BEHAVE_ACC_X_BEGIN,-66
47.43648,9.44703,2016-09-15T04:06:54Z,2016-09-15T04:04:59.000Z,BEHAVE_ACC_Y_BEGIN,276
